PRODUCTID	PRODUCTNDC	PRODUCTTYPENAME	NONPROPRIETARYNAME	DOSAGEFORMNAME	STARTMARKETINGDATE	ENDMARKETINGDATE	MARKETINGCATEGORYNAME	LABELERNAME	SUBSTANCENAME	ACTIVE_NUMERATOR_STRENGTH	ACTIVE_INGRED_UNIT	DEASCHEDULE	LISTING_RECORD_CERTIFIED_THROUGH
14593-933_5556c49e-f30c-4cec-b419-3e6aae2dbe00	14593-933	BULK INGREDIENT	Adenosine	POWDER	20210104		BULK INGREDIENT	Emcure Pharmaceuticals Limited	ADENOSINE	10	kg/10kg		20241231
14593-937_eb1d45bc-ad35-4ea4-a38d-fcaab383c3e7	14593-937	BULK INGREDIENT	Isosulfan Blue	POWDER	20230925		BULK INGREDIENT	Emcure Pharmaceuticals Limited	ISOSULFAN BLUE	15	kg/15kg		20241231
14593-944_9c5fefaa-b109-431b-9efd-5a7fef4a6ff7	14593-944	BULK INGREDIENT	Lisinopril	POWDER	20200929		BULK INGREDIENT	Emcure Pharmaceuticals Limited	LISINOPRIL	10	kg/10kg		20241231
14593-945_5be5c056-0ddc-4cfa-8a9d-d92bc74b5bbe	14593-945	BULK INGREDIENT	Eribulin Mesylate	POWDER	20210325		BULK INGREDIENT	Emcure Pharmaceuticals Limited	ERIBULIN MESYLATE	10	g/10g		20241231
14593-946_c40d0b78-6cfb-48e9-9f58-3a2122829bc6	14593-946	BULK INGREDIENT	Tenofovir Disoproxil Fumarate	POWDER	20211007		BULK INGREDIENT	Emcure Pharmaceuticals Limited	TENOFOVIR DISOPROXIL FUMARATE	15	kg/15kg		20241231
14593-947_efc1f942-e040-49f7-b1fb-87d86d971de9	14593-947	BULK INGREDIENT	Amiodarone Hydrochloride	POWDER	20221216		BULK INGREDIENT	Emcure Pharmaceuticals Limited	AMIODARONE	1	kg/kg		20241231
14593-948_9f391541-688d-4c79-b89c-d1e22f77b859	14593-948	BULK INGREDIENT	Buspirone Hydrochloride	POWDER	20230323		BULK INGREDIENT	Emcure Pharmaceuticals Limited	BUSPIRONE	1	kg/kg		20241231
14593-949_ad89b731-5529-4ee0-8d91-bc1fa844b71f	14593-949	BULK INGREDIENT	EBM-N-3 Intermediate	POWDER	20230616		BULK INGREDIENT	Emcure Pharmaceuticals Limited	ERIBULIN	15	kg/15kg		20241231
14593-950_17367763-64d7-4584-90fb-5a329c8419b5	14593-950	BULK INGREDIENT	Hydroxyzine Hydrochloride	POWDER	20230828		BULK INGREDIENT	Emcure Pharmaceuticals Limited	HYDROXYZINE	1	kg/kg		20241231
14639-0022_0153f6d5-7ceb-09b4-e063-6294a90aaee2	14639-0022	BULK INGREDIENT	Praziquantel	POWDER	20100518		BULK INGREDIENT	Merck KGaA	PRAZIQUANTEL	25	kg/25kg		20241231
14639-0111_01541686-f35f-6d16-e063-6394a90a13f4	14639-0111	BULK INGREDIENT	Cocarboxylase tetrahydrate	POWDER	20150925		BULK INGREDIENT	Merck KGaA	COCARBOXYLASE TETRAHYDRATE	.1	kg/.1kg		20241231
14639-0111_01541a04-f1f0-5e5b-e063-6294a90a25d3	14639-0111	BULK INGREDIENT	Cocarboxylase tetrahydrate	POWDER	20150925		BULK INGREDIENT	Merck KGaA	COCARBOXYLASE TETRAHYDRATE	5	kg/5kg		20241231
14639-0112_01546da4-818b-ec29-e063-6394a90a0304	14639-0112	BULK INGREDIENT	Cocarboxylase chloride	POWDER	20160517		BULK INGREDIENT	Merck KGaA	COCARBOXYLASE	.1	kg/.1kg		20241231
14639-0112_01549020-db2c-4189-e063-6394a90a2ea4	14639-0112	BULK INGREDIENT	Cocarboxylase chloride	POWDER	20130925		BULK INGREDIENT	Merck KGaA	COCARBOXYLASE	1	kg/kg		20241231
14639-0112_0154d738-dc81-67c5-e063-6394a90ace19	14639-0112	BULK INGREDIENT	Cocarboxylase chloride	POWDER	20160615		BULK INGREDIENT	Merck KGaA	COCARBOXYLASE	5	kg/5kg		20241231
14639-0164_0151a681-d183-0c37-e063-6294a90a473b	14639-0164	BULK INGREDIENT	Boric acid	POWDER	20160310		BULK INGREDIENT	Merck KGaA	BORIC ACID	1	kg/kg		20241231
14639-0164_0151e5f8-5521-ab6d-e063-6294a90ac4b3	14639-0164	BULK INGREDIENT	Boric acid	POWDER	20160615		BULK INGREDIENT	Merck KGaA	BORIC ACID	1	kg/kg		20241231
14639-0164_015251aa-759f-65c5-e063-6294a90a83d7	14639-0164	BULK INGREDIENT	Boric acid	POWDER	20150115		BULK INGREDIENT	Merck KGaA	BORIC ACID	25	kg/25kg		20241231
14639-0667_015475df-27f2-4371-e063-6294a90adddb	14639-0667	BULK INGREDIENT	Thiamine phosphoric acid ester chloride dihydrate	POWDER	20160615		BULK INGREDIENT	Merck KGaA	MONOPHOSPHOTHIAMINE	.1	kg/.1kg		20241231
14639-0667_01548858-8b11-494a-e063-6294a90a8e99	14639-0667	BULK INGREDIENT	Thiamine phosphoric acid ester chloride dihydrate	POWDER	20160615		BULK INGREDIENT	Merck KGaA	MONOPHOSPHOTHIAMINE	5	kg/5kg		20241231
14639-0667_0154d5dd-d434-4b11-e063-6294a90af78e	14639-0667	BULK INGREDIENT	Thiamine phosphoric acid ester chloride dihydrate	POWDER	20160615		BULK INGREDIENT	Merck KGaA	MONOPHOSPHOTHIAMINE	25	kg/25kg		20241231
14639-2101_01541d2e-1b8f-881d-e063-6294a90a64e0	14639-2101	BULK INGREDIENT	Safinamide	POWDER	20130601		BULK INGREDIENT	Merck KGaA	SAFINAMIDE	10	kg/10kg		20241231
14639-2367_01f4bac2-a8b7-ea64-e063-6394a90ace12	14639-2367	BULK INGREDIENT	Magnesium chloride hexahydrate	CRYSTAL	20150226		BULK INGREDIENT	Merck KGaA	MAGNESIUM CHLORIDE	5	kg/5kg		20241231
14639-2367_01f53083-d9da-113c-e063-6294a90a36ba	14639-2367	BULK INGREDIENT	Magnesium chloride hexahydrate	CRYSTAL	20151113		BULK INGREDIENT	Merck KGaA	MAGNESIUM CHLORIDE	25	kg/25kg		20241231
14639-2367_01f6e9d3-0de3-206e-e063-6294a90a0308	14639-2367	BULK INGREDIENT	Magnesium chloride hexahydrate	CRYSTAL	20160615		BULK INGREDIENT	Merck KGaA	MAGNESIUM CHLORIDE	25	kg/25kg		20241231
14639-2465_01f4bfdf-9bf9-ea20-e063-6394a90a73eb	14639-2465	BULK INGREDIENT	Calcium chloride dihydrate	CRYSTAL	20160222		BULK INGREDIENT	Merck KGaA	CALCIUM CHLORIDE	1	kg/kg		20241231
14639-2465_01f6d8ab-5550-fbdf-e063-6294a90ae822	14639-2465	BULK INGREDIENT	Calcium chloride dihydrate	CRYSTAL	20150630		BULK INGREDIENT	Merck KGaA	CALCIUM CHLORIDE	1	kg/kg		20241231
14639-2465_01f6f7dd-e837-47bb-e063-6394a90a5f43	14639-2465	BULK INGREDIENT	Calcium chloride dihydrate	CRYSTAL	20131013		BULK INGREDIENT	Merck KGaA	CALCIUM CHLORIDE	25	kg/25kg		20241231
14639-2465_01f7daa3-6382-4de9-e063-6394a90a3005	14639-2465	BULK INGREDIENT	Calcium chloride dihydrate	CRYSTAL	20150413		BULK INGREDIENT	Merck KGaA	CALCIUM CHLORIDE	25	kg/25kg		20241231
14639-5040_0152652e-638c-79d4-e063-6294a90ad2ba	14639-5040	BULK INGREDIENT	Potassium iodide	CRYSTAL	20160615		BULK INGREDIENT	Merck KGaA	POTASSIUM IODIDE	3	kg/3kg		20241231
14639-5040_015287cc-c109-c4dc-e063-6394a90a76f8	14639-5040	BULK INGREDIENT	Potassium iodide	CRYSTAL	20131023		BULK INGREDIENT	Merck KGaA	POTASSIUM IODIDE	1	kg/kg		20241231
14639-5040_0152af37-33c6-8de5-e063-6294a90a9e1e	14639-5040	BULK INGREDIENT	Potassium iodide	CRYSTAL	20100201		BULK INGREDIENT	Merck KGaA	POTASSIUM IODIDE	5	kg/5kg		20241231
14639-5040_0153e79c-3fe8-7d56-e063-6294a90ade64	14639-5040	BULK INGREDIENT	Potassium iodide	CRYSTAL	20110317		BULK INGREDIENT	Merck KGaA	POTASSIUM IODIDE	25	kg/25kg		20241231
14639-6143_01f4dd9b-09a3-2d9c-e063-6394a90a5509	14639-6143	BULK INGREDIENT	Meglumine	POWDER	20170310		BULK INGREDIENT	Merck KGaA	MEGLUMINE	1	kg/kg		20241231
14639-6235_026dd8e5-8356-1cd6-e063-6294a90a17f5	14639-6235	BULK INGREDIENT	Sodium acetate trihydrate	CRYSTAL	20160615		BULK INGREDIENT	Merck KGaA	SODIUM ACETATE	1	kg/kg		20241231
14639-6441_026e5026-a46e-4c3e-e063-6394a90a43a6	14639-6441	BULK INGREDIENT	Sodium fluoride	POWDER	20160615		BULK INGREDIENT	Merck KGaA	SODIUM FLUORIDE	1	kg/kg		20241231
14639-6441_02823eed-6abe-3317-e063-6394a90af080	14639-6441	BULK INGREDIENT	Sodium fluoride	POWDER	20160615		BULK INGREDIENT	Merck KGaA	SODIUM FLUORIDE	3	kg/3kg		20241231
14639-6441_02824e18-b67d-acd4-e063-6294a90a9ce6	14639-6441	BULK INGREDIENT	Sodium fluoride	POWDER	20100429		BULK INGREDIENT	Merck KGaA	SODIUM FLUORIDE	25	kg/25kg		20241231
14639-6444_02823eed-6ab4-3317-e063-6394a90af080	14639-6444	BULK INGREDIENT	Sodium chloride	CRYSTAL	20160615		BULK INGREDIENT	Merck KGaA	SODIUM CHLORIDE	1	kg/kg		20241231
14639-6444_02824e18-b681-acd4-e063-6294a90a9ce6	14639-6444	BULK INGREDIENT	Sodium chloride	CRYSTAL	20160415		BULK INGREDIENT	Merck KGaA	SODIUM CHLORIDE	1	kg/kg		20241231
14639-6444_02829b36-ffa2-1067-e063-6294a90ad6d7	14639-6444	BULK INGREDIENT	Sodium chloride	CRYSTAL	20160615		BULK INGREDIENT	Merck KGaA	SODIUM CHLORIDE	25	kg/25kg		20241231
14639-6666_02822586-c7ed-fb1e-e063-6394a90a10fc	14639-6666	BULK INGREDIENT	Sodium citrate	POWDER	20150611		BULK INGREDIENT	Merck KGaA	TRISODIUM CITRATE DIHYDRATE	1	kg/kg		20241231
14639-6666_02823eed-6abb-3317-e063-6394a90af080	14639-6666	BULK INGREDIENT	Sodium citrate	POWDER	20160615		BULK INGREDIENT	Merck KGaA	TRISODIUM CITRATE DIHYDRATE	1	kg/kg		20241231
14639-6666_02829b36-ffa5-1067-e063-6294a90ad6d7	14639-6666	BULK INGREDIENT	Sodium citrate	POWDER	20160322		BULK INGREDIENT	Merck KGaA	TRISODIUM CITRATE DIHYDRATE	25	kg/25kg		20241231
14639-7001_075dd6b0-74cf-8030-e063-6294a90a4c3e	14639-7001	DRUG FOR FURTHER PROCESSING	Octocrylene	LIQUID	20190418		DRUG FOR FURTHER PROCESSING	Merck Darmstadt	OCTOCRYLENE	1	kg/L		20241231
14639-7010_76f09be2-15c0-605d-e053-2a91aa0a7497	14639-7010	BULK INGREDIENT	Octinoxate	LIQUID	20180928		DRUG FOR FURTHER PROCESSING	Merck KGaA	OCTINOXATE	1	kg/L		20241231
14639-7020_7752a5f7-280e-cc37-e053-2991aa0a71a2	14639-7020	BULK INGREDIENT	Ethylhexyl Salicylate	LIQUID	20181003		DRUG FOR FURTHER PROCESSING	Mercl KGaA Darmstadt	OCTISALATE	1	kg/L		20241231
14639-7040_89907d92-d6a2-fa0c-e053-2995a90a97ea	14639-7040	BULK INGREDIENT	Avobenzone	LIQUID	20181025		BULK INGREDIENT	Merck KGaA	AVOBENZONE	1	kg/kg		20241231
14639-7060_7a3c2862-b717-2db2-e053-2a91aa0ab5e1	14639-7060	BULK INGREDIENT	Homosalate	LIQUID	20181109		DRUG FOR FURTHER PROCESSING	Merck Darmstadt	HOMOSALATE	1	kg/L		20241231
14639-7070_7d39095c-66b8-08ba-e053-2a91aa0ac389	14639-7070	BULK INGREDIENT	Octinoxate	LIQUID	20181217		DRUG FOR FURTHER PROCESSING	Merck KGaA	OCTINOXATE	.37	kg/L		20241231
14639-7080_7d3bf3b4-999e-e1df-e053-2991aa0a471c	14639-7080	BULK INGREDIENT	Octinoxate	LIQUID	20181217		DRUG FOR FURTHER PROCESSING	Merck KGaA	OCTINOXATE	.37	kg/L		20241231
14639-7090_7d3d3eab-6520-d7e5-e053-2991aa0a86f7	14639-7090	BULK INGREDIENT	Octinoxate	LIQUID	20181217		DRUG FOR FURTHER PROCESSING	Merck KGaA	OCTINOXATE	.37	kg/L		20241231
14639-8000_7d4d1003-33b7-eb65-e053-2991aa0a189f	14639-8000	BULK INGREDIENT	Titanium Dioxide	POWDER	20181218		DRUG FOR FURTHER PROCESSING	Merck KgaA	TITANIUM DIOXIDE	.8	kg/kg		20241231
14639-8010_7d4e9739-25d8-3b64-e053-2a91aa0aaf32	14639-8010	BULK INGREDIENT	Titanium Dioxide	LIQUID	20181218		DRUG FOR FURTHER PROCESSING	Merck KGaA	TITANIUM DIOXIDE	.25	kg/L		20241231
14639-8020_8901ae61-6249-8cf0-e053-2995a90abe26	14639-8020	BULK INGREDIENT	Titanium Dioxide	POWDER	20190516		DRUG FOR FURTHER PROCESSING	Merck KGaA	TITANIUM DIOXIDE	.8	kg/kg		20241231
14639-8030_8903c58b-61cd-3a29-e053-2a95a90ad3c8	14639-8030	BULK INGREDIENT	Titanium Dioxide	POWDER	20190516		DRUG FOR FURTHER PROCESSING	Merck KGaA	TITANIUM DIOXIDE	.785	kg/kg		20241231
14639-8040_0e850e0e-35f5-c4e2-e063-6394a90a6361	14639-8040	DRUG FOR FURTHER PROCESSING	Titanium Dioxide	POWDER	20190516		DRUG FOR FURTHER PROCESSING	Merck KGaA	TITANIUM DIOXIDE	.78	kg/kg		20251231
14639-8050_0760a1e9-57f7-33c6-e063-6294a90afbb6	14639-8050	DRUG FOR FURTHER PROCESSING	Aqua (and) Octocrylene (and) Sorbitol (and) Butyl Methoxydibenzoylmethane (and) Silica (and) PVP (and) Phenoxyethanol (and) Chlorphenesin (and) Disodium EDTA	LIQUID	20190517		DRUG FOR FURTHER PROCESSING	Merck KGaA	AVOBENZONE; OCTOCRYLENE	.09; .31	kg/L; kg/L		20241231
14639-8060_891a7bfd-b681-c6df-e053-2995a90a26f3	14639-8060	BULK INGREDIENT	Avobenzone, Octocrylene	LIQUID	20190517		DRUG FOR FURTHER PROCESSING	Merck KGaA	AVOBENZONE; OCTOCRYLENE	.09; .31	kg/L; kg/L		20241231
14639-8070_0039c041-a4d9-eb58-e063-6394a90a6654	14639-8070	BULK INGREDIENT	Phenylbenzimidazole Sulfonic Acid	POWDER	20220810		BULK INGREDIENT	Merck KGaA	ENSULIZOLE	1	kg/kg		20241231
14639-8080_0760e043-6529-acc6-e063-6294a90a78d4	14639-8080	BULK INGREDIENT	Zinc Oxide	POWDER	20220810		BULK INGREDIENT	Merck KGaA	ZINC OXIDE	1	kg/kg		20241231
14639-8090_0760ed09-ebb3-de21-e063-6294a90ad52c	14639-8090	BULK INGREDIENT	Zinc Oxide	POWDER	20220810		BULK INGREDIENT	Merck KGaA	ZINC OXIDE	1	kg/kg		20241231
14639-8204_026dd8e5-8356-1cd6-e063-6294a90a17f5	14639-8204	BULK INGREDIENT	Sodium acetate trihydrate	CRYSTAL	20220201		BULK INGREDIENT	Merck KGaA	SODIUM ACETATE	1	kg/kg		20241231
14639-8432_01f5abbb-d723-ec63-e063-6394a90a325b	14639-8432	BULK INGREDIENT	Urea	POWDER	20160615		BULK INGREDIENT	Merck KGaA	UREA	1	kg/kg		20241231
14639-8432_01f6e53c-a55a-0e17-e063-6294a90ad06d	14639-8432	BULK INGREDIENT	Urea	POWDER	20160615		BULK INGREDIENT	Merck KGaA	UREA	5	kg/5kg		20241231
14639-8432_01f7daa3-6381-4de9-e063-6394a90a3005	14639-8432	BULK INGREDIENT	Urea	POWDER	20140719		BULK INGREDIENT	Merck KGaA	UREA	25	kg/25kg		20241231
14639-8432_01f8044e-2943-6446-e063-6394a90abfe2	14639-8432	BULK INGREDIENT	Urea	POWDER	20160222		BULK INGREDIENT	Merck KGaA	UREA	1	kg/kg		20241231
14639-8815_1069b4ab-5fd3-cfa3-e063-6394a90aeb5a	14639-8815	BULK INGREDIENT	Zinc chloride	CRYSTAL	20100217		BULK INGREDIENT	Merck KGaA	ZINC CHLORIDE	1	kg/kg		20251231
14639-9828_01f50e0c-41e1-fdb4-e063-6394a90ad95b	14639-9828	BULK INGREDIENT	di-Potassium hydrogen phosphate	POWDER	20151007		BULK INGREDIENT	Merck KGaA	POTASSIUM PHOSPHATE, DIBASIC	1	kg/kg		20241231
14639-9828_01f6e9d3-0de2-206e-e063-6294a90a0308	14639-9828	BULK INGREDIENT	di-Potassium hydrogen phosphate	POWDER	20140707		BULK INGREDIENT	Merck KGaA	POTASSIUM PHOSPHATE, DIBASIC	1	kg/kg		20241231
14639-9828_01f7f680-52ec-9e37-e063-6294a90a11c2	14639-9828	BULK INGREDIENT	di-Potassium hydrogen phosphate	POWDER	20101217		BULK INGREDIENT	Merck KGaA	POTASSIUM PHOSPHATE, DIBASIC	12	kg/12kg		20241231
14778-0101_cc861bb0-5235-6fd6-e053-2a95a90acfea	14778-0101	BULK INGREDIENT	FLUMAZENIL	POWDER	20111010		BULK INGREDIENT	Hubei Haosun Pharmaceutical Co., Ltd.	FLUMAZENIL	1	g/g		20241231
14778-0202_cc864e1f-201d-486a-e053-2a95a90a89dc	14778-0202	BULK INGREDIENT	Granisetron	POWDER	20111010		BULK INGREDIENT	Hubei Haosun Pharmaceutical Co., Ltd.	GRANISETRON	1	kg/kg		20241231
14778-0303_cc86540d-e72d-ffe9-e053-2995a90a1c92	14778-0303	BULK INGREDIENT	Granisetron Hydrochloride	POWDER	20111010		BULK INGREDIENT	Hubei Haosun Pharmaceutical Co., Ltd.	GRANISETRON HYDROCHLORIDE	1	kg/kg		20241231
14778-0404_cc864e1f-2023-486a-e053-2a95a90a89dc	14778-0404	BULK INGREDIENT	Oxaliplatin	POWDER	20111010		BULK INGREDIENT	Hubei Haosun Pharmaceutical Co., Ltd.	OXALIPLATIN	1	kg/kg		20241231
14778-0505_c55fa1d7-dfb7-9f8f-e053-2995a90acb3e	14778-0505	BULK INGREDIENT	DASATINIB ANHYDROUS	POWDER	20200628		BULK INGREDIENT	Hubei Haosun Pharmaceutical Co., Ltd.	DASATINIB ANHYDROUS	1	kg/kg		20241231
14778-0606_04518d8c-6aab-16a4-e063-6394a90af011	14778-0606	BULK INGREDIENT	DESVENLAFAXINE SUCCINATE	POWDER	20210623		BULK INGREDIENT	Hubei Haosun Pharmaceutical Co., Ltd.	DESVENLAFAXINE SUCCINATE	1	kg/kg		20241231
14778-0707_0451857c-bd24-1ef2-e063-6394a90a3c1d	14778-0707	BULK INGREDIENT	NEOSTIGMINE METHYLSULFATE	POWDER	20230111		BULK INGREDIENT	Hubei Haosun Pharmaceutical Co., Ltd.	NEOSTIGMINE METHYLSULFATE	1	g/g		20241231
14778-1111_cc864e1f-2029-486a-e053-2a95a90a89dc	14778-1111	BULK INGREDIENT	Irinotecan Hydrochloride	POWDER	20111010		BULK INGREDIENT	Hubei Haosun Pharmaceutical Co., Ltd.	IRINOTECAN HYDROCHLORIDE	1	g/g		20241231
14778-1212_cc866f13-ed3f-84d2-e053-2995a90aa9bd	14778-1212	BULK INGREDIENT	Docetaxel Anhydrous	POWDER	20111010		BULK INGREDIENT	Hubei Haosun Pharmaceutical Co., Ltd.	DOCETAXEL ANHYDROUS	1	g/g		20241231
14778-1313_c55fc244-cedc-3cfc-e053-2a95a90a4e60	14778-1313	BULK INGREDIENT	Dasatinib	POWDER	20111010		BULK INGREDIENT	Hubei Haosun Pharmaceutical Co., Ltd.	DASATINIB	1	kg/kg		20241231
14778-1414_cc86377b-ae2c-110d-e053-2a95a90a329f	14778-1414	BULK INGREDIENT	Temozolomide	POWDER	20111010		BULK INGREDIENT	Hubei Haosun Pharmaceutical Co., Ltd.	TEMOZOLOMIDE	1	kg/kg		20241231
14799-0213_54f91ff7-1c18-4330-b748-4642fc3ed29d	14799-0213	BULK INGREDIENT	Bupropion Hydrochloride	POWDER	20100915		BULK INGREDIENT	Zhejiang Supor Pharmaceuticals Co., Ltd	BUPROPION HYDROCHLORIDE	1	kg/kg		20241231
14799-1102_afcd3dab-3c4f-479a-af69-303bd0853e2b	14799-1102	BULK INGREDIENT	Quetiapine Fumarate	POWDER	20100913		BULK INGREDIENT	Zhejiang Supor Pharmaceuticals Co., Ltd	QUETIAPINE FUMARATE	1	kg/kg		20241231
14799-2005_f1226337-f49b-43b7-8155-c11f937a23ed	14799-2005	BULK INGREDIENT	Tinidazole	POWDER	20100816		BULK INGREDIENT	Zhejiang Supor Pharmaceuticals Co., Ltd	TINIDAZOLE	1	kg/kg		20241231
14799-2007_9a1e9a2d-2df7-4f89-a29b-483104ad7f18	14799-2007	BULK INGREDIENT	Felodipine	POWDER	20100816		BULK INGREDIENT	Zhejiang Supor Pharmaceuticals Co., Ltd	FELODIPINE	1	kg/kg		20241231
14799-2008_0783e87e-937e-4fb5-bdd0-628ae700de23	14799-2008	BULK INGREDIENT	Secnidazole	POWDER	20100816		BULK INGREDIENT	Zhejiang Supor Pharmaceuticals Co., Ltd	SECNIDAZOLE	1	kg/kg		20241231
14799-2009_44c9e922-1626-4103-be4b-dee965befa1b	14799-2009	BULK INGREDIENT	Mitotane	POWDER	20100816		BULK INGREDIENT	Zhejiang Supor Pharmaceuticals Co., Ltd	MITOTANE	1	kg/kg		20241231
14799-2010_8cd929cc-1c00-4ffd-ad7e-292515f70302	14799-2010	BULK INGREDIENT	Olanzapine	POWDER	20100816		BULK INGREDIENT	Zhejiang Supor Pharmaceuticals Co., Ltd	OLANZAPINE	1	kg/kg		20241231
14799-2011_43c3d053-b739-4748-b904-6d1d3c4cba0c	14799-2011	BULK INGREDIENT	Lamotrigine	POWDER	20100816		BULK INGREDIENT	Zhejiang Supor Pharmaceuticals Co., Ltd	LAMOTRIGINE	1	kg/kg		20241231
14799-2012_2d2e175a-0e38-4f87-b11c-03b69d07545f	14799-2012	BULK INGREDIENT	Ornidazole	POWDER	20100816		BULK INGREDIENT	Zhejiang Supor Pharmaceuticals Co., Ltd	ORNIDAZOLE	1	kg/kg		20241231
14799-2013_bc831120-993a-442c-a641-c9b84eb7fd55	14799-2013	BULK INGREDIENT	Bupropion Hydrobromide	POWDER	20100913		BULK INGREDIENT	Zhejiang Supor Pharmaceuticals Co., Ltd	BUPROPION HYDROBROMIDE	1	kg/kg		20241231
14799-2021_1c441372-2cf1-4298-9da1-6a6fd1f9a3b0	14799-2021	BULK INGREDIENT	Ketotifen Fumarate	POWDER	20121031		BULK INGREDIENT	Zhejiang Supor Pharmaceuticals Co., Ltd	KETOTIFEN FUMARATE	1	kg/kg		20241231
14799-2022_299bae8a-69a5-4fe5-b899-0f83fb26a7e9	14799-2022	BULK INGREDIENT	Tenofovir Disoproxil Fumarate	POWDER	20121201		BULK INGREDIENT	Zhejiang Supor Pharmaceuticals Co., Ltd	TENOFOVIR DISOPROXIL FUMARATE	1	kg/kg		20241231
14799-2023_b91d9ffb-e46f-4a6d-b455-d120d9a61bc9	14799-2023	BULK INGREDIENT	Rivaroxaban	POWDER	20141201		BULK INGREDIENT	Zhejiang Supor Pharmaceuticals Co., Ltd	RIVAROXABAN	1	kg/kg		20241231
14799-3001_c76d3bdc-df1d-43d5-8820-301a6861451e	14799-3001	BULK INGREDIENT	Vasopressin	POWDER	20140417		BULK INGREDIENT	Zhejiang Supor Pharmaceuticals Co., Ltd	VASOPRESSIN	1	g/g		20251231
14799-3002_5a94cee5-9bb1-430f-a199-085c04cf209c	14799-3002	BULK INGREDIENT	Sermorelin Acetate	POWDER	20180306		BULK INGREDIENT	Zhejiang Supor Pharmaceuticals Co., Ltd	ARGIPRESSIN	1	g/g		20241231
14799-3003_78e17600-71c3-438f-ac31-664abded5a23	14799-3003	BULK INGREDIENT	Degarelix Acetate	POWDER	20220615		BULK INGREDIENT	Zhejiang Supor Pharmaceuticals Co., Ltd	ARGIPRESSIN	1	g/g		20241231
14799-3004_eab333d0-b468-4c9b-bff2-78a2fe8f647f	14799-3004	BULK INGREDIENT	Plecanatide	POWDER	20240517		BULK INGREDIENT	Zhejiang Supor Pharmaceuticals Co., Ltd	ARGIPRESSIN	1	g/g		20251231
14803-516_10209657-f675-4f78-e063-6294a90a6510	14803-516	HUMAN PRESCRIPTION DRUG	Folic Acid	TABLET	20201119		DRUG FOR FURTHER PROCESSING	Elysium Pharmaceuticals Limited	FOLIC ACID	1	mg/1		20251231
14998-0003_9a164cfc-b62a-9a9f-e053-2a95a90a0173	14998-0003	BULK INGREDIENT	Clindamycin Hydrochloride	POWDER	20100907		BULK INGREDIENT	Alchymars ICM SM Private Limited	CLINDAMYCIN HYDROCHLORIDE	1	kg/kg		20241231
14998-0008_9a15fd3c-d5bd-12e9-e053-2a95a90a20cf	14998-0008	BULK INGREDIENT	Risedronate Sodium	POWDER	20100907		BULK INGREDIENT	Alchymars ICM SM Private Limited	RISEDRONATE SODIUM	1	kg/kg		20241231
14998-0018_0f2ca52a-4da5-4c1a-ab44-09c6c05749f5	14998-0018	BULK INGREDIENT	Fosphenytoin sodium	POWDER	20161102		BULK INGREDIENT	Alchymars ICM SM Private Limited	FOSPHENYTOIN SODIUM	1	kg/kg		20241231
15308-0100_5dc6a8e3-611f-442e-a634-41d81c07642a	15308-0100	BULK INGREDIENT	Budesonide	POWDER	20010101		BULK INGREDIENT	Aarti Pharmalabs Limited	BUDESONIDE	1	kg/kg		20241231
15308-0200_4094aa9a-0fb4-46a0-8599-caf638581173	15308-0200	BULK INGREDIENT	Fluticasone Propionate	POWDER	20050101		BULK INGREDIENT	Aarti Pharmalabs Limited	FLUTICASONE PROPIONATE	1	kg/kg		20241231
15308-0220_6ad3ac37-4aec-4f16-9e68-ea2685280f61	15308-0220	BULK INGREDIENT	Mometasone Furoate	POWDER	20060101		BULK INGREDIENT	Aarti Pharmalabs Limited	MOMETASONE FUROATE	1	kg/kg		20241231
15308-0300_44d7804d-d30d-4d62-9d6f-63aebf4ab5d8	15308-0300	BULK INGREDIENT	Ramipril	POWDER	20160830		BULK INGREDIENT	Aarti Pharmalabs Limited	RAMIPRIL	1	kg/kg		20241231
15308-0310_43111187-2789-4528-97d5-9aaef07aaae5	15308-0310	BULK INGREDIENT	Levalbuterol Hydrochloride	POWDER	20000101		BULK INGREDIENT	Aarti Pharmalabs Limited	LEVALBUTEROL HYDROCHLORIDE	1	kg/kg		20241231
15308-0320_c5654c32-94ad-49bc-8322-f2167d1c2c6b	15308-0320	BULK INGREDIENT	Quetiapine Fumarate	POWDER	19980101		BULK INGREDIENT	Aarti Pharmalabs Limited	QUETIAPINE FUMARATE	1	kg/kg		20241231
15308-0360_dff4bb57-13bd-4994-9132-6df5c5cd993a	15308-0360	BULK INGREDIENT	Bicalutamide	POWDER	20090801		BULK INGREDIENT	Aarti Pharmalabs Limited	BICALUTAMIDE	1	kg/kg		20241231
15308-0411_72bc02d0-920a-4c51-ae9c-a525d29bf414	15308-0411	BULK INGREDIENT	Ifosfamide	POWDER	19900101		BULK INGREDIENT	Aarti Pharmalabs Limited	IFOSFAMIDE	1	kg/kg		20241231
15308-0412_21c01339-1544-4090-9ce8-79d29e1eb6ed	15308-0412	BULK INGREDIENT	BUPROPION HYDROCHLORIDE	POWDER	20100324		BULK INGREDIENT	Aarti Pharmalabs Limited	BUPROPION HYDROCHLORIDE	1	kg/kg		20241231
15308-0500_cbd40f59-250d-4e68-9ffe-3dea98c778ef	15308-0500	BULK INGREDIENT	Quinapril Hydrochloride	POWDER	19920101		BULK INGREDIENT	Aarti Pharmalabs Limited	QUINAPRIL HYDROCHLORIDE	1	kg/kg		20241231
