date,title,location,salary,company_industry,education,prior_experience,bonus,stocks,total_comp,additional_benefits,tenure_length_period,tenure_length_period_units,survey_year
2023-01-02,BI Analyst,"Pennsylvania, USA",79k,Juvenile Hardgoods,"Bachelor's in Accounting/Finance, Pusued Masters in Data Analytics",NA,NA,10k,"95kHonestly I am a one man analyst that has to do all the data transformation and preparation before loading it into a report visualization tool. Primary tools are Power BI, Power Automate, and excel. I know Sql and have a rudimentary understanding of Python",FALSE,3,years,2022
2023-01-02,Data Scientist,Canada,125 000 CAD,consumer tech company,BS in Stats,1.5 years,NA /  5k CAD,12k CAD Yearly RSU w/ only 1 grant + 12k promo bonus for 2 yrs,155 000CAD / ~115 000 USD,FALSE,1.5,years,2022
2023-01-02,Machine Learning Engineer,"Chicago, IL, USA","140,000-$150k",Not too known company with limited tech presence (not a start up,BS Stats,2 years (about 4 years total,N/A,0-40k cash bonus,"Realistically ~$150,000-$190,000, and probably on the lower end of that for the last year, unfortunately.I am up for a promotion at the end of this quarter, so hopefully I get a decent bump.  Feeling underpaid right now, so I'll start interviewing if the bump is small or the promotion doesn't come through",FALSE,2,years,2022
2023-01-02,Data Scientist,"London, UK",60k,financial crime,STEM MSc,2y * **Internship**: 6m * **Coop**: N/A,N/A,N/A,60k,FALSE,1,years,2022
2023-01-02,Senior Data Scientist,"London, UK",90k,FTSE 100 firm  * Education: BSc* Prior Experience: 3 years  * Relocation/Signing Bonus: N/A  * Stock and/or recurring bonuses: \~£25k  * Total comp: \~£115k  Pleased with the job I've just landed given YOE and,BSc,3 years,N/A,25k,"115k  Pleased with the job I've just landed given YOE and Education and would encourage people to seek out new roles if they're not happy, also, just be nice to work with.... it goes a long way.On the comparison with US salaries, I would encourage those to use the below website to get an accurate view...[https://www.numbeo.com/cost-of-living/comparison.jsp](https://www.numbeo.com/cost-of-living/comparison.jsp)I usually compare London vs. New York as NYC is likely where I would move if I did to the US... **At the time of writing,** the site says \~$9000 in NYC = \~£5200 which makes my £115k roughly $200k after some assumptions. Doesn't completely make up for the difference I am sure but still worth being aware of.Happy New Year everyone",FALSE,1,months,2022
2023-01-02,"Data Scientist, Product Analytics","Chicago, IL, USA","127,000",travel tech,"BA in a liberal arts field, MS in Data Science","3 years marketing analytics, 10+ years before that in marketing, public relations, communication    * **$Internship** 20 years ago in PR roles    * **$Coop** n/a","15k, 3 years ago","usually ~$20k equity bonus per year, vests over 4 years",147k but $127k is guaranteed,FALSE,3,years,2022
2023-01-02,Data Scientist,Canada,160k CAD,Logistics Tech,BsC,3 years full time    * $Coop: 2 years,n/a,n/a,160k CAD,FALSE,1,years,2022
2023-01-02,Data Scientist,Ireland,"64,000 (~$68k usd",Tech,"Masters in data science, PhD in computer science",NA,NA,NA,NA,FALSE,6,months,2022
2023-01-02,Data Scientist,United States,"100,000 USD",Energy,"BS CS, BS Bio","6 months full-time, 1 year DS internship",N/A,10k,"110,000",FALSE,2,months,2022
2023-01-02,Lead ML Engineer,"Midwestern United States, USA","180,000",Retail,HS Diploma,4 years SWE/MLE   * **$Internship**   * **$Coop,5000 sign on,10% annual bonus,"203,000",FALSE,1,years,2022
2023-01-02,Data Scientist,NA,"118,000 CAD",Banking,MSc,6 yrs,none,"20,000 CAD","138,000 CAD",FALSE,1,years,2022
2023-01-02,Data Scientist,Germany,76000,Healthcare / Pharma,STEM PhD,Industrial R&amp;D: 6 years (2 of which in Data Science topics,3000,9000,85000¬* **Contentment:** I'm both content and happy,FALSE,1,years,2022
2023-01-02,Internal Fraud Data Analyst,"Albany, NY, USA","112,000",Large Bank,MS in Business Analytics,"0 yrs in related position, 1.5 yrs in industry",0,10,"123,000",FALSE,3,years,2022
2023-01-02,Data Scientist,"London, UK","46,000",Broadcast Media/ TV,MS in DS,0 yrs,0,20% Cash + 7% Pension contribution,"54,200 ($65000",FALSE,1.5,years,2022
2023-01-02,Data Scientist,"Arlington, VA, USA","122,000",Small Defense Contractor,"BSc Industrial Engineering, midst of MSc Data Analytics","6 total years of prior but non-DS experience: 5 years ops research/data analysis, 3 years of modeling &amp; sim, 3 years of front/back-end for desktop apps, 1 year program management   * **Internship**: Yes   * **Coop**: N/A",9K,N/A,"122,000",FALSE,6,months,2022
2023-01-02,Sr. Data Engineer,"New Jersey, USA","144,000",Hardware,MS in Chemical Engineering - Computational Chem (PhD drop out,10 months,N/A,N/A,"144,000Switched jobs in November through a connection from a good friend to switch into a data engineering role for the time being with the plan of switching back to data science once the data infrastructure is built out more. My job prior was as a data scientist in manufacturing with a salary of $95,000 + 13% bonus also remote. The senior title was so my boss could present a compensation package that I couldn't turn down. I think this shows how valuable connections are because without them, I doubt I'd be getting a 50% raise after only 10 months of work",FALSE,1,months,2022
2023-01-02,Senior Data Science Engineer,NA,"135,000",Cybersecurity Startup,BS in Computer Science,3.5 years (primarily as a data engineer but also some as a data analyst,None**Stock:** We get,equity but have no idea how much it is worth since it is still a private startup,Really only 135k.Fairly chill role. Probably only work 30-35 hours a week most weeks,FALSE,1.5,years,2022
2023-01-02,NA,Argentina,"8.000 dollars (yes, per year, not per month",Firefighter Statistics,"Programmer Technician and Bachelor's Computes Science student at private university (50% completed). Learning Python, Excel and PowerBi for my own","1 year as Data Analyst, 3 as a Firefighter, and 8 years working repairing banknote processing machines, in a national company",es: No,NA,NA,FALSE,NA,unknown,2022
2023-01-02,Data Scientist,Switzerland,"CHF 95,000",FMCG,MSc in DS &amp; ML (recent graduate,"9 month internship in DA, same company","Relocation benefits (Goods transportation, initial rent subsidies, real estate consultancy",5% (from next year,"CHF 100,000",FALSE,3,months,2022
2023-01-02,BI Manager,"Remote, OR 97458, USA","120k base, no equity, 10% max perf bonus",retail banking,MSCS,"8 yrs various IT type programmer roles, 16 yrs other industry unrelated    * $Internship: none",none,"10% performance annual, no equity",130k (boss has a thing for never giving perfect scores on perf review,FALSE,1.5,years,2022
2023-01-02,Data Scientist,Poland,"23,000",Small-size Tech,BS in Artificial Intelligence and BS in Robotics,Internship:** 6 months as Embedded Developer,NA,NA,"23,000\*Cries in Polish salary",FALSE,2,years,2022
2023-01-02,Data Scientist,"Kolkata, West Bengal, India",NA,NA,"B. Sc. (Hons.) in Statistics, M. Sc. in Statistics* **Internship:** 3 months (Unpaid by an Ed-Tech company",N/A,N/A,Upto 21% based on company performance,8000**Note:** I know I am highly underpaid but due to certain financial issue I can't even stay at home without a job for a month. I am casually looking for new opportunities but every position (offices located in India) as data scientist needs at least 3-4 years of experience in their job description. I'll actively start looking for new offers from Sept. '23 (I'll have 2 years of experience by then.). Within a year or two I'll try to get a job based on European countries that offers international remote work. Till then I'll be focusing on learning as much as possible,FALSE,2,years,2022
2023-01-02,"Senior Data Scientist, Assistant Vice President","Northeastern United States, USA","120,000 USD",Finance/Banking,"BS in Math, MS in Applied Math",0 experience except for research during undergrad and grad school. Also did a statistical practicum,0 USD,10-15000 USD bonus4.5% + 1.5% matching 401K contribution vested immediately + vested after 1 year,"130,000-135000 USD",FALSE,3,months,2022
2023-01-02,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,NA,unknown,2022
2023-01-02,Data Consultant,NA,"78,500",Consulting,BS in Statistics,0 years,"2,500","TBD, not been with the company for long enough yet","81,000",FALSE,5,months,2022
2023-01-02,Data Scientist,"San Francisco Bay Area, CA, USA","150,000",Health Tech,MS + PhD + Post Doc,5 yrs,None,"145,000","200,000",FALSE,1,years,2022
2023-01-02,Data Scientist,"New York, NY, USA","110,000",Sensory Science,M.S. Statistics,6 Month D.S. internship,0,30k RSUs,"140,000",FALSE,NA,months,2022
2023-01-02,__: Data Scientist,"San Francisco Bay Area, CA, USA",130k,AgTech,PhD (social sciences,"1 year in private sector, after postdoc",10k,10k,"140,000 USDMy job is very science focused, which is nice, and there are a bunch of learning opportunities. Im hoping to upskill and either get promoted in the company or jump ship in a couple years",FALSE,1,months,2022
2023-01-02,NLP Scientist,"Northeastern United States, USA",110k,Healthtech Startup,STEM PhD,served time in academia for way too long (5+ years as a postdoc). Transitioned to a startup as a data scientist a year ago to this day (@100k/yr) until the startup stopped,NaN,5k,115k,FALSE,NA,months,2022
2023-01-02,Data scientist,NA,NA,NA,NA,NA,NA,Recurring Bonuses: $0 (have options,130k + monopoly money options,FALSE,2.5,years,2022
2023-01-02,Sr. Data Scientist,"San Francisco, CA, USA",150k,CRE SaaS,"BS in Math, AA in CS",7 yrs (no internship or coop,,20% annual bonus,190k,FALSE,5,years,2022
2023-01-02,Sr. Data Scientist,NA,135k,healthcare,MS in Applied Stats,6 years as data analyst,N/A,ESPP,150k,FALSE,1,years,2022
2023-01-02,Information Systems Analyst,"Indianapolis, IN, USA","90,000. Started around $50k",Agriculture,BS in Math/Statistics and MS in Economics (Company paid for,"0 yrs   * **Internship:** Yes, with current company while in college","5,000","8,000 performance bonus this past year and $500 Christmas bonus","99,000",FALSE,3,years,2022
2023-01-02,Data Analyst/Analytics Engineer,"Toronto, ON, Canada","74,000 CAD",Marketing Research/Geospatial Analytics,"BA in Social Science, Masters in Spatial Analysis",6 months internship,N/A,N/A,"74,000 CAD",FALSE,1.5,years,2022
2023-01-02,Data Scientist,"New York, NY, USA",120K,Financial Services,Masters,NA,15K,12K - $24K,147K-$159K,FALSE,,unknown,2022
2023-01-02,Sr Machine Learning Engineer,"San Francisco, CA, USA","140,000",biomedical device startup,Ph.D. Electrical Engineering,"3 years post-PhD, with some industry experience between degrees as well   * **$Internship:** NA","es:** $20,000",,"160,000",FALSE,0.5,years,2022
2023-01-02,Sr Data Scientist,NA,"167,000",Mid-size tech,"MS in Data Science, MS Info. Systems, MBA",6 yrs,"40,000 in yearly",grants,"240,000",FALSE,NA,unknown,2022
2023-01-02,Senior Data Scientist,NA,NA,NA,NA,NA,NA,NA,Total: 102kIndustry: National LabsEd: Phd in mathPrior experience: none unless you count the phd,FALSE,NA,unknown,2022
2023-01-02,Director DS &amp; ML,NA,NA,NA,NA,NA,"depends on company performance as well as individual)* **Total comp:** ~$300-360,000Last year I was considering jumping ship if I didnt get a promotion and a good pay bump to director. I got both those things at my company. I almost made the jump to MSFT in 2022 as well - but ultimately they were not offering more than my current compensation and would require relo to a HCOL area. But with the current state of affairs (layoffs) I feel very fortunate to have my role - the industry I'm in is very very stable. Which, when things are booming, can suck a bit (our","Bonus:** ~$40-70k RSUs, ~$60-90k bonus (depends on company performance as well as individual","300-360,000Last year I was considering jumping ship if I didnt get a promotion and a good pay bump to director. I got both those things at my company. I almost made the jump to MSFT in 2022 as well - but ultimately they were not offering more than my current compensation and would require relo to a HCOL area. But with the current state of affairs (layoffs) I feel very fortunate to have my role - the industry I'm in is very very stable. Which, when things are booming, can suck a bit (our stock price stays pretty level), but during 'downturns' its a really really good value proposition. Also likely to receive a promotion to Sr. Director this year (some shuffling around in the C suite will open by boss' position up as he moves up) - that will probably be a 50-60k? TC increase",FALSE,4,years,2022
2023-01-02,Data Analyst,"Charlotte, NC, USA","60,000",Large International Company,BA in Psychology,None,N/A,N/A,"60,000",FALSE,2,months,2022
2023-01-02,DS Quant,"Washington, DC, USA",170k,Finance,MS DS,NA,NA,20% annual bonus        7% 401k matching        HSA matching,220k,FALSE,3,years,2022
2023-01-02,Sr. Data Scientist,NA,140k,Big N,"STEM undergrad, analytics masters","1 year DS, 3 years DA * **$Internship:** None * **$Coop:** None",N/A this year,60k RSUs,200k* **Misc:** My 2021 salary post is higher than it was in actuality because my RSUs went =É lol,FALSE,1,years,2022
2023-01-02,Senior Data Scientist,"Denver, CO, USA",NA,NA,M.Sc. Data Science,1.5 years,undisclosed,,157K excluding equity Hoping the base comp can raise a bit but overall really happy with the work and the equity is pretty significant (private company so RSUs,FALSE,1.5,years,2022
2023-01-02,Lead Analyst,NA,105k,healthcare,BS Accounting/MBA,4 years financial analyst/4 years data analyst,N/A,20,126k,FALSE,9,months,2022
2023-01-02,sr data scientist,"Minneapolis, MN, USA",NA,NA,masters nearly finished,0 years,0,15k,135k,FALSE,6,years,2022
2023-01-02,Senior Data Scientist,"Philadelphia, PA, USA","145,000",Mid-size ad-tech,PhD in Physics,4 yrs   * $Internship: N/A   * $Coop: N/A,N/A,"3,000","148,000",FALSE,3,years,2022
2023-01-02,Data Scientist,"Austin, TX, USA","112,000",Large Tech Company,"MS Business Analytics, BS Statistics","0    * **$Internship** 2 summers as DS intern w/ large Fed Gov. Contractor (Arlington, VA)   * **$Coop** N/A",0,"Variable EoY cash bonus, 3-10","120,000",FALSE,6,months,2022
2023-01-02,Data Analytics Lead,"Dallas, TX, USA","113,000","Healthcare, Fortune 50","MS Analytics, Doctorate (just graduated) didnt have it when I first started",NA,NA,"30,000","143,000Throwaway account but we are going through a realignment so hopefully looking for some upgrades. Wont know till March. Pretty much do everything that relates to data. Mixture of Engineering, DS, and data analytics. Using a mixture of tools daily with sql, python, power bi, r, tableau",FALSE,1,years,2022
2023-01-02,data analyst,"New York, NY, USA",140k,tech,masters (in progress,11 (5 years data)   * **$Internship**   * **$Coop,es:** 12% + stocks* **Total comp:** $157k,s,157k + stocks,FALSE,2,years,2022
2023-01-02,Data Scientist,"San Francisco, CA, USA",130k,Insurance,BS Computer Science,5 years domain experience    * **$Internship** NA   * **$Coop** NA,NA,NA,130k,FALSE,6,months,2022
2023-01-02,Senior Data Scientist,"New York, NY, USA","130,000",Advertising Tech,"MSc Data Science, MEng Mechanical Engineering",3 yrs,0,15,"150,000Hoping to leave soon tbh.Edit: Got laid off this week",FALSE,1,years,2022
2023-01-02,Senior Analyst,"Dayton, OH, USA",NA,NA,Some College,NA,None,"and Bonus: $14,000","104,000",FALSE,4,years,2022
2023-01-02,Lead Data Scientist,United States,"190,000","Boutique Consultancy (primarily Fortune 100 size clients, specializing in pricing analytics",M.S. from Ivy League school,4 years of non-technical work before transitioning during grad school,"60,000",Revenue sharing from projects I lead,"260,000/year",FALSE,4.5,years,2022
2023-01-02,ML Engineer,"Jaipur, Rajasthan, India",23300,Restraunt Tech/PoS,MS,NA,NA,1.5K,25000,FALSE,2,years,2022
2023-01-02,Associate Data Scientist,"Salt Lake City, UT, USA","100,000",Small Tech,BS in Computer Science,1 year internship (6 months with current company,"5,000",20,"125,000",FALSE,1,years,2022
2023-01-02,Anaplan Solutions Architect,NA,"160,000 USD",Consulting,MS Business Intelligence,4 yrs,No,"Billable hours beyond 32 per week, earned ~16% of my salary with the structure",187k USD,FALSE,1.5,years,2022
2023-01-02,Data Analyst,"North Carolina, USA",450k,various industries,MS in ds,3yrs,0,0,450k,FALSE,3,years,2022
2023-01-02,Product Analyst,"Phoenix, AZ, USA","75,000",E-Commerce,"BA Econ, BS Math, MS Business Analytics",5+ Years    * **$Internship** 4 mo Data Science in Logistics   * **$Coop** No,,No,"75,000",FALSE,11,months,2022
2023-01-02,Bioinformatics scientist,Israel,"62,000",Mid-size healthcare/Pharma,MS in bioinformatics,None,None,None,"67,000",FALSE,1,years,2022
2023-01-02,Data Analyst / Engineer,"St. Louis, MO, USA","90,000",Healthcare,"Associate Degree in Nursing, BS in Data Science, MS in Biostatistics (in progress","6 years bedside nursing in various specialty areas, 4 years as a data practitioner, 3 years in informatics and research     "" Internships: N/A",N/A,None,"90,000",FALSE,2,years,2022
2023-01-02,Data Scientist,NA,"85,000",Large insurance,"BS in Finance, MS in Statistics (in progress","1 year as Pricing Analyst, 3.5 years as DA",n/a,up to 30% of salary,95kGraduate from MS program Spring 2024 and at that point plan to search for a new job.  May apply to some internships over the summer at top tier companies that would be likely out of reach for the experience,FALSE,2,months,2022
2023-01-02,BI Developer,"Connecticut, USA","104,000",manufacturing,self taught/ OJT,"10 years as production manager, 12 years as full stack software developer.$Internship: NA",NA,NA,NA,FALSE,1.5,years,2022
2023-01-02,Senior Data Scientist,NA,"151,000",Big Tech,MS in CS/BS in EEE,NA,NA,NA,NA,FALSE,1,years,2022
2023-01-02,Senior Data Analyst,"San Francisco Bay Area, CA, USA",130k,Ad Tech,MS Applied Mathematics,"Worked as researchers in the areas of physics and biology - great work experience, decent pay and got be an author of published work in peer reviewed journals",N/A,Percentage based on company performance,130k to 145k (based on highest bonus received)Starting a new job this next month as an Associate Director of Data Science and Risk Analytics for a finance company - super excited for this opportunity and got myself a nice 40k increase,FALSE,3.6,years,2022
2023-01-02,Associate Data Scientist,"Illinois, USA","93,000",Retail,"B.S. in Computer Engineering, M.S. in Data Science",NA,NA,NA,NA,FALSE,15,months,2022
2023-01-02,Data Scientist,NA,135k,Finance,"PhD, Engineering",2 yoe Non-data STEM,7500 post-tax,20-$30k IC,160k,FALSE,1,years,2022
2023-01-02,Business Intelligence Engineer    * Previously Senior Data Scientist,"Seattle, WA, USA","164,000",AAA Game Publisher,PhD in Geophysics,8.5 years    * No internships,"80,000 RSU over first 4 years","15% target, $32k (RSUs","216,000",FALSE,1,years,2022
2023-01-02,Data Scientist,NA,155k,Tech,Physics PhD + 4.5 years postdoc,2 years,0,"180k RSUs/4 years (issued late 2021, womp womp) + $15k ""we're sorry the market screwed you"" top-up. ESPP with 15% discount",200k (minus market bloodbath on RSUs,FALSE,1,years,2022
2023-01-02,Data Analyst (Mid,"San Diego, CA, USA","88,000",Food Service,"BS Mathematics, minors Data Science and Physics",1.5 years (two full time jobs,N/A,N/A,"80,000My first job paid $21 an hour as a Data Analyst 1 at a non profit. My second job as a data scientist 1 paid $33 an hour. This job is 38 an hour contract to hire, and upon hiring they will give me a $10k raise and salary",FALSE,NA,months,2022
2023-01-02,Data Scientist,"London, UK",NA,NA,NA,NA,NA,NA,NA,FALSE,2,years,2022
2023-01-02,Process Data Scientist,NA,135k,Banking,Bachelor Industrial EngineeringMSDA in progress,NA,11k,or Recurring Bonus: 10,145k,FALSE,NA,months,2022
2023-01-02,Applied Scientist,"San Francisco Bay Area, CA, USA",170K,Tech (&gt; 20K employees,PhD,Graduated in May 2022 with a PhD in an unrelated (non-CS/stats/math) field. Took CS/ML classes and worked on many side projects since 2019 after deciding to leave academia. Did a DS internship at a small startup in Summer 2021 and interviewed for new grad positions that fall. Received multiple offers in October-December 2021 to start in Summer 2022,45K,300K RSU over 4 years + 15K bonus,"305KThe end of 2021 was the peak of the tech boom and many PhD friends who were interviewing around the same time as I did got comparable offers from Amazon, Lyft, Adobe, Meta, Google, Pinterest... A year later, these companies are no longer hiring at E4 level. Since my team got marginalized after a major reorg last October and my workload increased to \~60 hrs/week, I started actively applying to as many places as I could. Only heard back from one place. Have learned to accept it's the employer's market now, but constantly feeling at the edge of burnout",FALSE,7,months,2022
2023-01-02,ML engineer,"Bengaluru, Karnataka, India",12k usd,fintech,msc math,"nil"" $Internship"" $Coop",none,nkne5,same as above Damn I gotta get a new job and leave this country,FALSE,NA,unknown,2022
2023-01-02,Sr. Developer Advocate / Sr Technical Community Advocate,"New York, NY, USA",NA,NA,MA in media innovation,NA,NA,NA,NA,FALSE,2,months,2022
2023-01-02,Senior Lead Quantitative Analyst/Vice President,"New York, NY, USA",NA,NA,NA,NA,NA,NA,225-240K,FALSE,4,years,2022
2023-01-02,Data Analyst Intern,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,NA,unknown,2022
2023-01-02,Junior Data Scientist,South America,20k USD,Large Bank,bachelor in CS,internship 1.5 year total,nope,10k USD,30k USD,FALSE,1.5,years,2022
2023-01-02,Data Analyst (My work is actually more SQL ETL heavy,NA,100k,Tech startup,"MS Accounting, BA Accounting/Finance/Analytics",NA,NA,NA,100k (I consider my startup equity worthless until its not)I am desperately trying to break into data science but feel intimidated by my lack of technical background. My portfolio of project is strong but in the current market its obviously been extremely difficult,FALSE,1.5,years,2022
2019-12-09,ML Engineer (L7/E7-equivalent level,"Seattle, WA, USA",295k,SaaS,MS,"15yrs, several FAANG-ish companies",75k,"75k bonus, $270k RSU's per year",640k,FALSE,1,years,2019
2019-12-09,Manager Data Analytics/Science,"4200 Fifth Ave, Pittsburgh, PA 15260, USA","160,000",Utility,BS Risk Analytics | MS Data Science,NA,NA,20k-50k * **recurring bonuses:** ~$20k-50k,"200k-260kEvolved into 'data scientist' as many people did. Started as an intel analyst for fed govt, but graduated BS with good grasp of vba/excel...used it to do some cool stuff, managed other people who could do the same kind of thing...eventually evolved to doing stuff on bigger data sets with python/sql and actually applying some statistical techniques. Around 2016ish is when 'data science' kind of took off and I realized thats what I had been doing. Went back to school (MS), got my role redefined, and finally moved from HCOL area to a LCOL area because of wifes job. Was brought on to manage/create a 'DS CoE' in this utility company.*Salary updated - company periodically reassess comps and provides salary increases as necessary (outside of scheduled annual increase and bonus",FALSE,1,years,2019
2019-12-09,Data Engineer,NA,119k,Media,Bachelors,NA,NA,10% target bonus + share scheme,"133kOnly person (with a bit of help) in company to manage ELT pipelines, BI tool backend and data warehouse. Doing both requirement scoping works with business units and technical implementation. A lot of SQL and fair amount of Python, terraform and some proprietary language. Also did some work on classification models, ML pipelines and data warehouse migration. Wish there's more traditional software engineering in the role",FALSE,1.5,years,2019
2019-12-09,Data Analyst,"Atlanta, GA, USA",60k,The Home Depot/Retail,"BS: Accounting, graduate 2020",5 months as a pricing analyst at a real estate company,5% of salary,6% company match if I recall correctly,"63KJob is mainly data wrangling in SQL (bigquery environment) , Tableau reporting for week-over-week reports, tableau insight tools (provide visibility or intelligence for a class of products/vendors/prices/you name it) , R models (clustering, forecasting sales using R, neural networks for classification models, counterfactual/causal impact analysis), ad-hoc reports that usually end up in an Excel or Tableau file",FALSE,1.5,years,2019
2019-12-09,Marketing Manager (doing analysis,"Southern California, CA, USA",128k,Healthcare,"BS, Business (just finished MS, CIS","10 years, marketing analysis",5k,10,140.8k,FALSE,2,years,2019
2019-12-09,Data Analyst,Germany,"64,5k  (¬58k",MedTech,Econ PhD,Internship:**  6 months internship at an Econ think tank; 3 months internship at a Consulting company,NA,5.5k **(**¬5k,"70kMy job is mainly data wrangling with R, Python, Excel, and Tableau. I work about 40h/week and can take time off for exceeding that limit. I studied in Europe because it was more affordable. I enjoy the employee-friendly conditions here. However, I am considering moving to the US to get a higher salary (I have work authorization",FALSE,10,months,2019
2019-12-09,Data Analyst,"New Jersey, USA","84,000",Consumer Packaged Goods,2 B.s. Data Science &amp; Applied Statistics,Internship: 3 summer internships - doing DS/Finance,,8% EOY target bonus,95k,FALSE,NA,unknown,2019
2019-12-09,ML engineer,"Amsterdam, Netherlands",40k,IT services / Consulting,"BSc in CS, MSc in DS",4 internships (= 2 years)   * 3 months of working for one of my profs   * 6 months as a developer at a research institute,np.nan,13th month + various small bonusses + pension plan + more or less unlimited WFH + access to a lot of training and certification materials,48k,FALSE,7,months,2019
2019-12-09,Data Analyst,"Minneapolis, MN, USA",65K,Retail,BS in Math and Data Science,Internship: Software Development Internship (3 months)**   * **$Coop: Software Engineering CoOp (12 months,5K,1.5K,71.5K,FALSE,7,months,2019
2019-12-09,Business Intelligence Engineer III,"Seattle, WA, USA","110,000",Amazon,"Bachelors in Psychology, Masters in I/O Psychology",NA,NA,"75,000","185,000",FALSE,3.5,years,2019
2019-12-09,Data Scientist,"San Francisco, CA, USA",135k,Tech Company,"BS in Operation Research, MS in Data Science",1.25 Year at large tech company as DS**     * **$Internship: DS Internship before full time during MS**   * **$Coop,15k,65k/year,195k,FALSE,8,months,2019
2019-12-09,ML Engineer,NA,"170,000",Defense,MS CS,"Data Analyst: 1 year, Data Scientist: 1 year",5-10k,10,185-205k,FALSE,1,years,2019
2019-12-09,Data Scientist,"Los Angeles, CA, USA","95,500",Legal,"BS Economics, Finishing up Masters in Statistics",Data Analyst:** 3 years,None,Annual bonus largely dependent on performance and state of the firm. Between 5-10K,"100,000-$105,000",FALSE,1.5,years,2019
2019-12-09,Data Scientist,"South Florida, FL, USA",100k,Financial Technology,3x B.S,2-3 years Finance/IT,N/A,5-10,110k,FALSE,2,years,2019
2019-12-09,Data Scientist,United States,110K,Fintech startup,PhD,DS bootcamp $Internship$Coop,None,Didn't get around to it,115K,FALSE,1,years,2019
2019-12-09,Data Scientist,"Philadelphia, PA, USA",110k,CPG,PhD,None (minor relevant experience in grad school,"Equity with current value \~$50k, 4yr vest",10% cash bonus,"120k, not counting equity (which I don't",FALSE,1,years,2019
2019-12-09,Analytics Manager,NA,"101,000 USD",Health Insurance,"BA Mathematics, MS Data Science",9 years as data analyst in health care,n/a; I do get a small remote stipend,n/a,"103,000 USD",FALSE,8,months,2019
2019-12-09,Senior Data Analyst,India,12 lakh annully/ 16.9k USD,Marketing,Bachleors,11 Years in Data analysis**   * **$Internship**   * **$Coop,None,1lakh/1.1k USD,14 lakh/ 19.7k USD,FALSE,2,years,2019
2019-12-09,"Principal data scientist* Tenure length: 2 months* Location: DFW* Salary: $160k* Company/Industry: Healthcare, R&amp;D* Education: PhD* Prior Experience: Finance, $140k base, $25k bonus (most years), 6 years* Stock and/or recurring bonuses: Non-profit performance dependent* Total comp: $160k - $180k* Draw: learning and research opportunity------* Title: Owner, data services consultancy",NA,"160k* Company/Industry: Healthcare, R&amp;D* Education: PhD* Prior Experience: Finance, $140k base, $25k bonus (most years), 6 years* Stock and/or recurring bonuses: Non-profit performance dependent* Total comp: $160k - $180k* Draw: learning and research opportunity------* Title: Owner, data services consultancy* Tenure length: 2 months* Location: DFW* Salary: $10k - $25k / month","Healthcare, R&amp;D",PhD,NA,"most years), 6 years",Non-profit performance dependent,"160k - $180k* Draw: learning and research opportunity------* Title: Owner, data services consultancy* Tenure length: 2 months* Location: DFW* Salary: $10k - $25k / month* Company/Industry: Tech",FALSE,2,years,2019
2019-12-09,Senior Data Scientist,"San Francisco, CA, USA",175k,Tech,PhD/MS/BS in engineering,Still at first job,"target, \~$70k per year in RSU at current stock price* **Total comp:** $275kHoping for a generous stock refresh in March to make up for the 35% drop in the",price,275kHoping for a generous stock refresh in March to make up for the 35% drop in the stock price,FALSE,3.5,years,2019
2019-12-09,Analytics Manager,"Midwestern United States, USA",103k,Retail,Masters in Business Analytics (graduated June 2019); BA in Accounting,Multiple Data Analyst roles for the last five years,none,"8% annual bonus, divided up by overall company performance and individual performance, though I won't get one for this year since I started so late","110kAt the beginning of the year, I was in a data analyst role but doing data scientist work (Python and ETL). Moving to a data scientist role then to this current role gained me a 50% pay increase, and that doesn't include the bonus",FALSE,3,months,2019
2019-12-09,Graduate Data Scientist,"Glasgow, UK",27700,Large energy company,NA,NA,NA,and other bonuses: £3370,ensation: £31070,FALSE,4,months,2019
2019-12-09,"IT Engineer, Applications - ETL Development, but I technically sound 50% of my time doing DBA work as well",NA,NA,NA,NA,NA,No,"Recurring Bonus: Pension plan, potential 5% bonus based on group goals","ensation: ~85,000-90,000",FALSE,2.5,years,2019
2019-12-09,Data Scientist,United States,"105,000",Financial,"MS in Analytics, BS in Math",Internship:** 2 years at a different company,NA,NA,"120,000",FALSE,,unknown,2019
2019-12-09,Data Scientist,"Midwestern United States, USA",72K,Marketing,"2 years of college for comp sci (no degree), coding bootcamp, other than that I'm self taught",Hired as an ETL developer then moved to DS team 7 months later.  $Internship  - N/A  $Coop - N/A,0,Around $6K on bonuses + 401K employer match,I'll net about $80K this year,FALSE,2,years,2019
2019-12-09,NA,"Stockholm, Sweden",NA,NA,NA,NA,NA,before ipo + some other random stuff,"ensation: probably around 51,000",FALSE,NA,unknown,2019
2019-12-09,Data Scientist,"Austin, TX, USA","116,500",Fintech,"MSE (aerospace engineering, UT Austin), BS (mechanical engineering, Caltech",3 months at small startup as data scientist   * 10 week internship as machine learning engineer,None,7.5% annual bonus (depending on company performance)* 4 Weeks PTO (all PTO lumped into one)* Work from home as needed* 401k: 4% matching at 100,140k,FALSE,4,months,2019
