property_name,areaWithType,square_feet,transaction,status,floor,furnishing,facing,description,price_per_sqft,price
1 BHK Apartment for Sale in Suman Vihar Surat,Carpet Area,385 sqft,Resale,Ready to Move,8 out of 8,Unfurnished,East,"1BHK with only single tower in project, peaceful environment","₹3,556 per sqft ",₹16 Lac 
  Office Space for Sale in Nanpura Surat,Carpet Area,150 sqft,Resale,Ready to Move,3 out of 3,,,"Vastu Compliant, Furnished with 1.5 Ton Split AC, Half Partition, 2 Main Chairs, 2 Guest Chairs, 2 Side Storage Table, Sofa, Mini Table, Other Storage Box.Read more","₹6,000 per sqft ",₹15 Lac 
2 BHK  House for Sale in Kim Surat,Super Area,2600 sqft,Resale,Ready to Move,Upper Basement out of 1,Furnished,1,,₹731 per sqft ,₹19 Lac 
"2 BHK  House for Sale in Shivdhara Residency, VIP Road Surat",Carpet Area,324 sqft,Unfurnished,Ready to Move,Resale,East,"Garden/Park, Main Road",2Bhk main corner row house with car parking,"₹2,778 per sqft ",₹18 Lac 
2 BHK Builder Floor for Sale in Alkapuri Surat,Super Area,850 sqft,Resale,Ready to Move,4 out of 5,Unfurnished,1, This Builder Floor Apartment is located at 4th floor in a building of total 5 floors. This spacious Builder Floor Apartment has age of construction above 20 years. Read more,"₹2,000 per sqft ",₹17 Lac 
  Shop for Sale in Nava Nagar Udhana Yard Surat Surat,Super Area,17 sqm,Resale,Ready to Move,Ground out of 3,,,Commercial Shop located on Ground floor provides breathing space on front as it overlooks Main Road. The type of ownership is Co-operative Society. The age of construction for this apartment Commercial Shop is between Less than 5 years.Read more,"₹9,836 per sqft ",₹18 Lac 
2 BHK Builder Floor for Sale in Ram Pura Surat,Super Area,800 sqft,Resale,Ready to Move,2 out of 5,Unfurnished,1,,"₹2,500 per sqft ",₹20 Lac 
1 BHK  House for Sale in Sayan Surat,Super Area,48 sqyrd,Resale,Ready to Move,Ground out of 1,Unfurnished,"Garden/Park, Main Road",,"₹3,472 per sqft ",₹15 Lac 
"1 BHK Apartment for Sale in Silicon Palm, Silicon Palm, dindoli, Surat Surat",Super Area,801 sqft,Resale,Ready to Move,10 out of 10,Semi-Furnished,Silicon Palm,,"₹2,559 per sqft ",₹20.5 Lac 
"2 BHK Apartment for Sale in Aagam Navkar, Sachin Surat",Super Area,570 sqft,Unfurnished,4 out of 5,Resale,Aagam Navkar,2,,"₹3,509 per sqft ",₹20 Lac 
2 BHK Apartment for Sale in Rander Road Surat,Carpet Area,876 sqft,Resale,Ready to Move,4 out of 4,Semi-Furnished,"Garden/Park, Main Road",East facing with modular kitchen.,"₹2,964 per sqft ",₹30 Lac 
2 BHK Builder Floor for Sale in Citylight Area Surat,Super Area,950 sqft,Resale,Ready to Move,2 out of 4,Furnished,1 Open, This Builder Floor Apartment is located at 2nd floor in a building of total 4 floors. The Builder Floor Apartment construction is more than 10 to 15 years old. Read more,"₹4,211 per sqft ",₹40 Lac 
1 BHK Apartment for Sale in Subhash Nagar Surat,Carpet Area,575 sqft,Resale,Ready to Move,3 out of 4,Semi-Furnished,North - West,Road touch Widow in all rooms and balconie,"₹3,833 per sqft ",₹23 Lac 
"2 BHK Apartment for Sale in JT Stuti Highland, Palanpur Surat",Carpet Area,1276 sqft,Resale,Ready to Move,10 out of 13,Unfurnished,West,Multistorey apartment is available for sale. Ready to move in with garden view flat.Read more,"₹2,978 per sqft ",₹38 Lac 
1 BHK Villa for Sale in Surat Surat,Super Area,432 sqft,Unfurnished,Ready to Move,Resale,1,,,"₹2,387 per sqft ",₹10.3 Lac 
"3 BHK Apartment for Sale in Raj Abhishek City Homes, Sachin Surat",Super Area,1360 sqft,Resale,Ready to Move,2 out of 5,Furnished,Raj Abhishek City Homes,Multistorey apartment is available for sale. It is a good location property. Please contact for more detail.Read more,"₹3,309 per sqft ",₹45 Lac 
"  Shop for Sale in Mahavir Market, Nr. Udhna Railway Station Surat",Super Area,153 sqft,Resale,Ready to Move,1 out of 4,,,,"₹10,784 per sqft ",₹16.5 Lac 
2 BHK Apartment for Sale in Katargam Surat,Carpet Area,950 sqft,Resale,Ready to Move,4 out of 5,Unfurnished,Freehold,"2 BHK flat is available for sale in Katargam, Surat. Near  by landmark is Gajera Circle.Read more","₹3,522 per sqft ",₹40.5 Lac 
"2 BHK Apartment for Sale in Aksharkunj apartment, Udhna Surat",Carpet Area,675 sqft,Resale,Ready to Move,Ground out of 4,Semi-Furnished,South - East,"It is near to Lord Shiva Temple, 2 School, Garden, Market, Mall, Railway StationRead more","₹2,817 per sqft ",₹20 Lac 
"2 BHK Apartment for Sale in Dhvani Royal Residency, Variav Surat",Carpet Area,714 sqft,Resale,Ready to Move,2 out of 5,Unfurnished,Dhvani Royal Residency,,"₹3,747 per sqft ",₹28 Lac 
  Shop for Sale in Adajan Surat,Carpet Area,209 sqft,Resale,Ready to Move,1 out of 3,1 Covered,,"Excellent location having superb accessibility. Promote your business with high visibility at prime location. Property has exclusive parking. The mall has all the features and facilities, making this property a cracker of a deal for retail businessRead more","₹12,500 per sqft ",₹30 Lac 
1 BHK  House for Sale in Dindoli Surat,Super Area,500 sqft,Unfurnished,Ground out of 1,Resale,1,,,"₹4,702 per sqft ",₹23.5 Lac 
2 BHK Builder Floor for Sale in Amroli Surat,Super Area,650 sqft,Resale,Ready to Move,2 out of 3,Unfurnished,1 Covered, It's a 2nd floor Builder Floor Apartment in a building of total 3 floors. The Builder Floor Apartment construction is more than 15 to 20 years old. Read more,"₹2,000 per sqft ",₹13 Lac 
1 BHK Villa for Sale in Kamrej Surat,Carpet Area,54 sqyrd,Unfurnished,Ready to Move,New Property,North,"Garden/Park, Main Road","1 lakh down payment, 1 community hall, 4-garden, 20-30-40 feet wideroadRead more","₹2,881 per sqft ",₹14 Lac 
2 BHK Apartment for Sale in Kamrej Surat,Carpet Area,562 sqft,Resale,Ready to Move,1 out of 3,Semi-Furnished,2,,"₹3,116 per sqft ",₹21 Lac 
  Shop for Sale in Palsana Surat,Super Area,303 sqft,Resale,Ready to Move,Ground out of 5,10 Open,,Facing MainRoad Shop Opposite to chalthan railway station,"₹4,800 per sqft ",₹14.5 Lac 
2 BHK Builder Floor for Sale in Kamrej Surat,Super Area,947 sqft,Resale,Ready to Move,4 out of 4,Furnished,2,,"₹2,323 per sqft ",₹22 Lac 
"2 BHK Apartment for Sale in Silver Plaza Complex, Silver Plaza Flats Surat",Super Area,1100 sqft,Resale,Ready to Move,6 out of 7,Furnished,East,,"₹3,364 per sqft ",₹37 Lac 
"2 BHK Apartment for Sale in Sankheswar complex, Adajan Patiya Surat",Super Area,975 sqft,Resale,Ready to Move,7 out of 9,Semi-Furnished,East,,"₹2,871 per sqft ",₹28 Lac 
1 BHK Apartment for Sale in Katar Gam Surat,Super Area,413 sqft,Resale,Ready to Move,2 out of 5,Unfurnished,1,,"₹4,116 per sqft ",₹17 Lac 
2 BHK Apartment for Sale in Sarthana Jakat Naka Surat,Super Area,900 sqft,Resale,Ready to Move,3 out of 14,Unfurnished,2,,"₹4,000 per sqft ",₹36 Lac 
1 BHK Apartment for Sale in ganesh residency Surat,Carpet Area,431 sqft,Resale,Ready to Move,1 out of 13,Semi-Furnished,1,,,₹20 Lac 
"1 BHK Apartment for Sale in Residency, Jahangirabad Surat",Carpet Area,731 sqft,Resale,Ready to Move,2 out of 5,Unfurnished,Residency,Multistorey apartment is available for sale. It is a good location property. Please contact for more details.Read more,,₹20 Lac 
1 BHK  House for Sale in Amroli Surat,Carpet Area,1250 sqft,Resale,Ready to Move,Ground out of 2,Semi-Furnished,East,,"₹1,25,000 per sqft ",₹45 Lac 
2 BHK Apartment for Sale in Radhakishan Flats Surat,Carpet Area,650 sqft,Resale,Ready to Move,4 out of 8,Unfurnished,North,Located at Very Prime area All facilities nearby available.Good peopleRead more,"₹2,624 per sqft ",₹26.5 Lac 
2 BHK Builder Floor for Sale in Kailash Nagar Surat,Super Area,800 sqft,Resale,Ready to Move,4 out of 5,Semi-Furnished,1,,"₹1,875 per sqft ",₹15 Lac 
2 BHK  House for Sale in Udhana Surat,Carpet Area,1080 sqft,Resale,Ready to Move,1 out of 2,Unfurnished,North,adajan bus depot is within half k.m,"₹3,796 per sqft ",₹41 Lac 
 Apartment for Sale in Bhestan Surat,Carpet Area,682 sqft,,Resale,,,,,"₹2,961 per sqft ",₹34.8 Lac 
"1 BHK Apartment for Sale in Karmabhoomi Complex, Adajan Surat",Super Area,895 sqft,Resale,Ready to Move,4 out of 4,Unfurnished,Main Road,Best View from the flats and Big Balcony,"₹2,180 per sqft ",₹19.5 Lac 
2 BHK Apartment for Sale in Palanpur Jakatnaka Surat,Super Area,950 sqft,Resale,Ready to Move,2 out of 5,Semi-Furnished,Main Road,"2 BHK semi furnished flat includes 24 hrs Sweet and Salty water, All windows and gallery are covered with MS grills, Main entrance covered with MS grill Jali, Drawing room with TV Unit and storage cabinets, Kitchen with drawers and cabinet to store household items and groceries, Store room, Gujarat Gas Connection with gas geyser point, Common Washroom, Master bedroom 1 with attached washroom , Gallery and Queen size Bed, RCC full length self for storing items can be converted into upper storage cabinet, Master Bed room 2 with Cupboard and RCC full length self for storing items can be convertedRead more","₹3,368 per sqft ",₹32 Lac 
"  Shop for Sale in Fortune The Shopping Island, Pal Gam Surat",Super Area,460 sqft,Resale,Ready to Move,1 out of 5,,,,"₹7,826 per sqft ",₹36 Lac 
"2 BHK Apartment for Sale in JT Stuti Icon, Palanpur Surat",Super Area,1256 sqft,Resale,Ready to Move,13 out of 13,Furnished,East,Multistorey apartment is available for sale. It is a good location property. Please contact for more details.8l2849723o palakbaban11Read more,"₹3,165 per sqft ",₹39.8 Lac 
"2 BHK Apartment for Sale in Vinayak Enclave, Dindoli Surat",Carpet Area,897 sqft,Furnished,Ready to Move,2 out of 5,Vinayak Enclave,2,,,₹23 Lac 
2 BHK Apartment for Sale in Thakordwar Appartment Surat,Carpet Area,800 sqft,Resale,Ready to Move,2 out of 4,Unfurnished,West,,"₹4,000 per sqft ",₹40 Lac 
1 BHK  House for Sale in Kosamba Surat,Super Area,612 sqft,Resale,Ready to Move,Ground out of 1,Unfurnished,2,,"₹2,288 per sqft ",₹14 Lac 
2 BHK Builder Floor for Sale in Anand Mahal Road Surat,Super Area,1089 sqft,Resale,Ready to Move,1 out of 4,Semi-Furnished,2,,"₹3,673 per sqft ",₹40 Lac 
2 BHK Apartment for Sale in D G Point parvat partiya surat Surat,Carpet Area,1150 sqft,Resale,Ready to Move,6 out of 10,Unfurnished,North - West,Multistorey apartment is available for sale. Property is on a road side destination and corner property in near Parvat Partiya char rasta.Read more,,₹29.5 Lac 
1 BHK Apartment for Sale in Bhagal Surat,Carpet Area,90 sqft,Resale,Ready to Move,1 out of 1,Unfurnished,East,"1 RK , 1st floor","₹16,667 per sqft ",₹15 Lac 
2 BHK Apartment for Sale in Nanpura Timliyawad Surat,Carpet Area,1150 sqft,Resale,Ready to Move,6 out of 7,Semi-Furnished,2,,"₹3,478 per sqft ",₹40 Lac 
  Plot/Land for Sale in Narthan Surat,Plot Area,164 sqft,1,Resale,Congo,No,,,"₹18,902 per sqft ",₹31 Lac 
"  Shop for Sale in Nahata Raj Victoria, Pal Gam Surat",Super Area,420 sqft,Resale,Ready to Move,1 out of 1,,,,"₹8,333 per sqft ",₹35 Lac 
1 BHK  House for Sale in kadothara bardoli hayve sarvotam hotel ke samne gangadhara  Surat,Super Area,480 sqft,Resale,Ready to Move,Ground out of 2,Unfurnished,1,,"₹4,167 per sqft ",₹20 Lac 
3 BHK Apartment for Sale in Swastik complex old kosad road Amroli Surat,Super Area,1260 sqft,Resale,Ready to Move,4 out of 5,Furnished,2,,"₹2,619 per sqft ",₹33 Lac 
  Plot/Land for Sale in Maroli Surat,Plot Area,963 sqft,Yes,Resale,2,,,,"₹1,038 per sqft ",₹10 Lac 
1 BHK Apartment for Sale in Khadsad Surat,Carpet Area,623 sqft,Resale,Ready to Move,5 out of 5,Unfurnished,East,,"₹3,981 per sqft ",₹25 Lac 
2 BHK  House for Sale in Shiv Sagar residency Surat,Super Area,700 sqft,Resale,Ready to Move,Ground out of 1,Semi-Furnished,1,,"₹3,071 per sqft ",₹21.5 Lac 
  Shop for Sale in Katargam Surat,Super Area,242 sqft,Resale,Ready to Move,Ground out of 4,"5 Covered,",,,"₹12,397 per sqft ",₹30 Lac 
1 BHK Apartment for Sale in GREEN HOUSE APARTMENT Surat,Carpet Area,675 sqft,Resale,Ready to Move,5 out of 8,Semi-Furnished,"Garden/Park, Main Road","Near From Railway Station, Textile Market, Diamond Market,","₹3,815 per sqft ",₹25.8 Lac 
2 BHK Builder Floor for Sale in Karod Surat,Super Area,800 sqft,Resale,Ready to Move,2 out of 5,Semi-Furnished,2,,"₹1,250 per sqft ",₹10 Lac 
1 BHK Penthouse for Sale in Hari Pura Surat,Carpet Area,1000 sqft,Resale,Ready to Move,5 out of 5,Semi-Furnished,East,,"₹2,250 per sqft ",₹27 Lac 
"2 BHK Apartment for Sale in Prayosha Home, Dindoli Surat",Carpet Area,1011 sqft,Resale,Ready to Move,2 out of 7,Unfurnished,East,spacious with full facility,,₹36 Lac 
2 BHK Builder Floor for Sale in Vakaneda Chalthan Surat,Super Area,1105 sqft,Resale,Ready to Move,3 out of 5,Unfurnished,2, It's a 3rd floor Builder Floor Apartment in a building of total 5 floors. Read more,"₹1,810 per sqft ",₹20 Lac 
2 BHK Apartment for Sale in Sima Nagar Surat,Super Area,700 sqft,Resale,Ready to Move,Ground out of 1,Unfurnished,2,,"₹2,714 per sqft ",₹19 Lac 
2 BHK Apartment for Sale in Athwa Surat,Super Area,1400 sqft,Resale,Ready to Move,10 out of 14,2,,,"₹3,571 per sqft ",₹50 Lac 
2 BHK  House for Sale in Palanpur Jakatnaka Surat,Super Area,780 sqft,Unfurnished,Ready to Move,Resale,2,,,"₹6,154 per sqft ",₹48 Lac 
4 BHK  House for Sale in Bhatar Surat,Carpet Area,800 sqft,Unfurnished,Ready to Move,Resale,West,Freehold,near diamond burs,"₹3,571 per sqft ",₹45 Lac 
2 BHK  House for Sale in Velanja Surat,Super Area,78 sqyrd,Unfurnished,Ready to Move,Resale,1 Open,2,,"₹3,989 per sqft ",₹28 Lac 
2 BHK Apartment for Sale in Bagumara Surat,Carpet Area,1100 sqft,Resale,Ready to Move,3 out of 4,Unfurnished,Main Road,"Multistorey apartment is available for sale. It has covered area 1250 sq-ft, it is 2 BHK apartment. Please contact for more details.Read more","₹3,760 per sqft ",₹47 Lac 
  Plot/Land for Sale in Olpad Surat,Plot Area,122 sqft,Main Road,Freehold,Resale,,,"-. - ,. ,. -","₹9,016 per sqft ",₹11 Lac 
  Shop for Sale in Trikamnagar 1 Surat,Super Area,160 sqft,Resale,Ready to Move,1 out of 5,,,,"₹15,000 per sqft ",₹24 Lac 
2 BHK Apartment for Sale in Diwali Baugh Athwagate Surat Surat,Carpet Area,900 sqft,Resale,Ready to Move,3 out of 3,Unfurnished,2,,"₹5,000 per sqft ",₹50 Lac 
1 BHK Builder Floor for Sale in Adajan Surat,Super Area,650 sqft,Resale,Ready to Move,4 out of 5,Semi-Furnished,1,,"₹2,308 per sqft ",₹15 Lac 
2 BHK  House for Sale in Hari Pura Surat,Super Area,252 sqft,Resale,Ready to Move,Ground out of 3,Unfurnished,1,,"₹9,921 per sqft ",₹25 Lac 
"2 BHK Apartment for Sale in Pan Sharanam, Jahangir Pura Surat",Carpet Area,824 sqft,Resale,Ready to Move,4 out of 5,Semi-Furnished,Pan Sharanam,,"₹2,547 per sqft ",₹30 Lac 
2 BHK Apartment for Sale in Kailash Nagar Surat,Super Area,1175 sqft,Resale,Ready to Move,2 out of 7,Furnished,East,spacious,"₹3,404 per sqft ",₹40 Lac 
3 BHK Apartment for Sale in mahavir appartment Surat,Carpet Area,1327 sqft,Resale,Ready to Move,4 out of 9,Furnished,2,,"₹2,881 per sqft ",₹42.5 Lac 
2 BHK Apartment for Sale in Devadh Surat,Super Area,1065 sqft,Resale,Ready to Move,3 out of 5,Semi-Furnished,North,"fully vastu, South West flat","₹2,347 per sqft ",₹25 Lac 
1 BHK  House for Sale in Dabholi Surat,Carpet Area,490 sqft,Unfurnished,Ready to Move,Resale,South -West,Main Road,main road to 100 meter,,₹50 Lac 
1 BHK Builder Floor for Sale in Kailash Nagar Surat,Super Area,700 sqft,Furnished,3 out of 4,Resale,Co-operative Society,1,  Builder Floor Apartment owned by Co-operative Society is located at the advantageous 3rd floor in a tower of total 4 floors. The Builder Floor Apartment construction is above 20 years. Flooring of type Ceramic Tiles covers maximum part of the house. Read more,"₹2,571 per sqft ",₹18 Lac 
2 BHK Apartment for Sale in shree bharti residency Surat,Carpet Area,800 sqft,Resale,Ready to Move,8 out of 12,Furnished,2,,"₹3,911 per sqft ",₹42 Lac 
1 BHK Apartment for Sale in Punagam Surat,Carpet Area,400 sqft,Resale,Ready to Move,Ground out of 4,Semi-Furnished,Main Road,,"₹2,750 per sqft ",₹11 Lac 
"  Shop for Sale in Shivam Elephanta Business Hub, Katargam Surat",Super Area,455 sqft,Resale,Ready to Move,1 out of 8,,,Commercial shop is available for sale. It is a good location property. Please contact for more details.Read more,"₹8,791 per sqft ",₹40 Lac 
2 BHK Apartment for Sale in Jahangir Pura Surat,Super Area,1250 sqft,Resale,Ready to Move,4 out of 5,Unfurnished,2,,"₹3,360 per sqft ",₹42 Lac 
"2 BHK  House for Sale in Shreenath society, nilgiri, udhna Surat",Super Area,770 sqft,Resale,Ready to Move,2 out of 2,Unfurnished,2,,"₹3,377 per sqft ",₹26 Lac 
 Industrial Land for Sale in Kim Surat,Built Area,900 sqft,,New Property,,,,,₹389 per sqft ,₹3.5 Lac 
1 BHK Apartment for Sale in suman shail vesu Surat,Carpet Area,550 sqft,Resale,Ready to Move,7 out of 14,Furnished,1,,,₹25 Lac 
  Office Space for Sale in Jahangir Pura Surat,Super Area,250 sqft,Resale,Ready to Move,3 out of 5,1,,,"₹8,500 per sqft ",₹21.3 Lac 
"1 BHK Apartment for Sale in akshardham appt , naryan nagar , Katargam Surat",Super Area,500 sqft,Resale,Ready to Move,2 out of 4,Unfurnished,1,,"₹3,400 per sqft ",₹17 Lac 
"2 BHK  House for Sale in Gruham Royal Park, Olpad Sayan Road Surat",Carpet Area,900 sqft,Unfurnished,Ready to Move,Resale,"Pool, Garden/Park, Main Road",Gruham Royal Park,Large multiple garden inside township,"₹2,273 per sqft ",₹25 Lac 
2 BHK  House for Sale in allpar Surat,Super Area,900 sqft,Resale,Ready to Move,Ground out of 2,Unfurnished,2,,"₹2,056 per sqft ",₹18.5 Lac 
"1 BHK  House for Sale in SATAR GAON, Surat Surat",Super Area,160 sqft,Resale,Ready to Move,Ground out of 1,Unfurnished,1,,"₹5,000 per sqft ",₹8 Lac 
  Shop for Sale in Adajan Surat,Carpet Area,220 sqft,Resale,Ready to Move,Ground out of 10,,,,"₹6,136 per sqft ",₹27 Lac 
  Office Space for Sale in Surat City Surat,Carpet Area,350 sqft,Resale,Ready to Move,4 out of 4,1,,Rented Property,"₹7,000 per sqft ",₹35 Lac 
"3 BHK Apartment for Sale in AG Sentosa Enclave, Godadara Surat",Carpet Area,1100 sqft,Resale,Ready to Move,2 out of 5,Unfurnished,West,"Home buyers an appealingly designed 3 BHK flat is available for sale in AG Sentosa Enclave, Godadara, Surat. This is a pretty new property with the age of construction less than 5 years and is close to key infrastructures. Hence, considering this abode to settle down with your loved ones is a wise choice.Property SpecificationsWest facing, this 3 BHK flat is positioned on the 2nd floor of a 5-storey building and is well-configured to receive adequate natural light and ventilation. Covering a carpet area of 1100 sqft, this flat is remarkably designed to offer comfortable living space.Presented unfurnished, this flat encompasses 3 comfy bedrooms, 3 bathrooms  1 Indian, 2 Western with geysers, a separate living  dining area, and a kitchen with an attached utility area. That is not all, there is a balcony linked to the hall and one can get a view of the main road.Furthermore, two of the bathrooms are ensuite with bedrooms for extra comfort while the 3rd bathroom is for common use. The flooring throughout the flat is adorned with elegant marble, adding a touch of sophistication to the ambiance. Whether youre looking for a comfortable family home or a wise investment opportunity, this property has it all.FacilitiesThis property provides convenient amenities including covered parking, 247 water supply, 100 power backup, security guards, CCTV surveillance, and a lift. Plus, a garden, sports room, and a party hall auditorium for leisure and entertainment are also available.LocalityThis property boasts a strategic location near several key landmarks. Shantikunj garden and Dindoli railway crossing are just a stones throw away, adding to the scenic beauty and convenience of the area. Social amenities such as schools, hospitals, malls, and supermarkets are walking distance away, and banking needs are met with close-by banks and ATMs.Public transport is easily accessible, enhancing your convenience. Also, Dindoli Railway Station is 2 to 4 km away and Godadara Railway Station is at a stretch of 4 km. This location offers the perfect blend of comfort and accessibility for a vibrant and well-connected lifestyle.Read more","₹2,977 per sqft ",₹38.1 Lac 
  Office Space for Sale in Amroli Surat,Super Area,178 sqft,Resale,Ready to Move,1 out of 4,,,,"₹9,551 per sqft ",₹17 Lac 
2 BHK Builder Floor for Sale in Udhna Amrut Nagar Society Surat,Super Area,900 sqft,Resale,Ready to Move,4 out of 5,Semi-Furnished,2,,"₹2,556 per sqft ",₹23 Lac 
2 BHK Apartment for Sale in Parimal park Surat,Super Area,910 sqft,Resale,Ready to Move,4 out of 4,Unfurnished,2,,"₹2,473 per sqft ",₹22.5 Lac 
  Office Space for Sale in Anand Mahal Road Surat,Carpet Area,275 sqft,Resale,Ready to Move,3 out of 8,1,,Prime location with best construction quality,"₹6,002 per sqft ",₹25.5 Lac 
"2 BHK Apartment for Sale in Palsana, Surat Surat",Super Area,1100 sqft,Resale,Ready to Move,2 out of 5,Furnished,2,,"₹3,364 per sqft ",₹37 Lac 
"2 BHK Apartment for Sale in Adajan, Surat Surat",Super Area,1035 sqft,Resale,Ready to Move,5 out of 6,Semi-Furnished,2,,"₹2,802 per sqft ",₹29 Lac 
"2 BHK Apartment for Sale in Rajhans Swapna, Sarthana Jakat Naka Surat",Super Area,1200 sqft,Resale,Ready to Move,6 out of 13,Semi-Furnished,Rajhans Swapna,,"₹3,750 per sqft ",₹45 Lac 
3 BHK  House for Sale in Sachin Surat,Super Area,1550 sqft,Resale,Ready to Move,1 out of 1,Semi-Furnished,3,,"₹3,226 per sqft ",₹50 Lac 
2 BHK Apartment for Sale in Adajan Surat,Super Area,1040 sqft,Resale,Ready to Move,4 out of 5,Unfurnished,2,,"₹2,404 per sqft ",₹25 Lac 
2 BHK Apartment for Sale in kanakpur kansad Surat,Status,Ready to Move,Unfurnished,Ground out of 10,Resale,East,Garden/Park,"Urgently SellingGood Condition Ground Floor Garden View Facing 2BHK Flat1. CCTV Camera2. Security Guard3. Near By School, Railway Station, Market, Bank4. Age Of Property 5 Years5. 24x7 Water6. Garden, Party Area7. 2 LiftPrice NegotiableRead more",,₹22 Lac 
2 BHK Apartment for Sale in Sardar Complex behind Sarswati School Surat,Carpet Area,680 sqft,Resale,Ready to Move,4 out of 4,Semi-Furnished,North,,"₹2,671 per sqft ",₹23 Lac 
"1 BHK  House for Sale in Milinum park soc,dindoli Surat",Super Area,800 sqft,,Ready to Move,Resale,,,,"₹5,000 per sqft ",₹40 Lac 
2 BHK  House for Sale in shiv banglow olpad Surat,Carpet Area,20 sqft,Semi-Furnished,Ready to Move,Resale,East,Freehold,near a High way.,"₹97,222 per sqft ",₹35 Lac 
1 BHK Apartment for Sale in Smc suman sagar Surat,Super Area,540 sqft,Resale,Ready to Move,8 out of 8,Furnished,1,,"₹2,872 per sqft ",₹15.5 Lac 
2 BHK Apartment for Sale in Sukruti Apartment  Muktanand Nagar Surat,Super Area,1000 sqft,Resale,Ready to Move,3 out of 4,Furnished,2,,"₹4,000 per sqft ",₹40 Lac 
  Plot/Land for Sale in Dihen Surat,Plot Area,1053 sqft,Yes,Freehold,Resale,,,Residential plot is available for sale. It has plot area 117 sq-yard that faces North direction. Please contact for more details.Read more,"₹1,425 per sqft ",₹15 Lac 
2 BHK Apartment for Sale in Palanpur Gam Surat,Super Area,1218 sqft,Resale,Ready to Move,5 out of 5,Semi-Furnished,East,This Multistorey Apartment is located at 5th floor in a building of total 5 floors.Read more,"₹2,956 per sqft ",₹36 Lac 
"1 BHK Apartment for Sale in Panchtatva Residency, Mota Varachha Surat",Carpet Area,785 sqft,Resale,Ready to Move,Lower Basement out of 5,Furnished,Panchtatva Residency,"Multistorey apartment is available for sale. It has carpet area 785 sq-ft, it is 1 BHK apartment. Please contact for more details.Read more",,₹25 Lac 
1 BHK Apartment for Sale in Pal Road Surat,Carpet Area,480 sqft,Resale,Ready to Move,8 out of 8,Semi-Furnished,North,prime location,"₹2,853 per sqft ",₹25.1 Lac 
  Office Space for Sale in Pal Surat,Carpet Area,286 sqft,Resale,Ready to Move,3 out of 4,1,,"Front view, spacious, very well maintained, close to Pal Umra bridgeRead more","₹6,381 per sqft ",₹36.5 Lac 
  Plot/Land for Sale in Olpad Surat,Plot Area,648 sqft,No,Resale,2,,,,"₹1,080 per sqft ",₹7 Lac 
4 BHK  House for Sale in Bardoli Surat,Super Area,1000 sqft,Resale,Ready to Move,Ground out of 2,Unfurnished,2,,"₹4,200 per sqft ",₹42 Lac 
  Shop for Sale in Rander Surat,Super Area,150 sqft,Resale,Ready to Move,Ground out of 6,,,,"₹10,000 per sqft ",₹15 Lac 
"2 BHK Apartment for Sale in Radhe Krishna Residency, Dindoli Surat",Carpet Area,1150 sqft,Resale,Ready to Move,3 out of 5,Unfurnished,South - East,,"₹2,917 per sqft ",₹35 Lac 
"2 BHK Apartment for Sale in Bhakti Shiv Dhara Residency, Mota Varachha Surat",Carpet Area,1024 sqft,Resale,Ready to Move,5 out of 5,Semi-Furnished,East,"well ventilated open terrace 2 BHK flat with store room, build in cupboard and 2 point for gas pipeline connectionRead more","₹2,344 per sqft ",₹24 Lac 
2 BHK  House for Sale in Olpad Sayan Road Surat,Super Area,1319 sqft,Unfurnished,Ready to Move,Resale,2,,,"₹2,502 per sqft ",₹33 Lac 
2 BHK  House for Sale in Udhana Surat,Super Area,800 sqft,Unfurnished,Ready to Move,Resale,1,1,,"₹5,625 per sqft ",₹45 Lac 
3 BHK Apartment for Sale in Amroli Surat,Super Area,1050 sqft,Resale,Ready to Move,1 out of 5,Semi-Furnished,3,,"₹4,000 per sqft ",₹42 Lac 
1 BHK Apartment for Sale in Vesu Surat,Super Area,500 sqft,Resale,Ready to Move,6 out of 8,Unfurnished,1,,"₹3,400 per sqft ",₹17 Lac 
3 BHK  House for Sale in Masma Village Surat,Super Area,100 sqyrd,Semi-Furnished,Ready to Move,Resale,3,,,"₹5,278 per sqft ",₹47.5 Lac 
"1 BHK Apartment for Sale in Manvay Residency, Chalthan Surat",Carpet Area,311 sqft,Resale,Ready to Move,4 out of 5,Unfurnished,Manvay Residency,,"₹3,111 per sqft ",₹14 Lac 
"1 BHK Apartment for Sale in Aastha Bhakti Heights, Amroli Surat",Carpet Area,550 sqft,Resale,Ready to Move,8 out of 12,Unfurnished,East,,"₹2,733 per sqft ",₹20.5 Lac 
"2 BHK Apartment for Sale in Green Paradise, Jahangirabad Surat",Carpet Area,1011 sqft,Resale,Ready to Move,14 out of 14,Unfurnished,South,2bhk penthouse.,"₹3,250 per sqft ",₹37.9 Lac 
2 BHK Apartment for Sale in Althan Surat,Super Area,1000 sqft,Resale,Ready to Move,3 out of 4,Semi-Furnished,2,,"₹3,500 per sqft ",₹35 Lac 
1 BHK Apartment for Sale in Dholakiya garden Surat,Carpet Area,650 sqft,Resale,Ready to Move,2 out of 4,Unfurnished,North,,"₹2,769 per sqft ",₹18 Lac 
1 BHK Apartment for Sale in sumankala vesu surat Surat,Carpet Area,660 sqft,Resale,Ready to Move,2 out of 5,Furnished,1,,"₹2,857 per sqft ",₹20 Lac 
